time;I(D7);P(QU1);
0;-1.12038e-11;2.37704e-10;
2e-08;-1.12868e-11;2.37704e-10;
4e-08;-1.12868e-11;2.37705e-10;
8e-08;-1.12868e-11;2.37704e-10;
1.6e-07;-1.12868e-11;2.37705e-10;
3.2e-07;-1.12868e-11;2.37705e-10;
6.4e-07;-1.12868e-11;2.37706e-10;
1.28e-06;-1.12868e-11;2.37707e-10;
2.56e-06;-1.12868e-11;2.3771e-10;
4.56e-06;-1.12868e-11;2.37715e-10;
6.56e-06;-1.12868e-11;2.37719e-10;
8.56e-06;-1.12868e-11;2.37723e-10;
1.056e-05;-1.12868e-11;2.37727e-10;
1.256e-05;-1.12868e-11;2.37731e-10;
1.456e-05;-1.12868e-11;2.37734e-10;
1.656e-05;-1.12868e-11;2.37738e-10;
1.856e-05;-1.12868e-11;2.37741e-10;
2.056e-05;-1.12868e-11;2.37745e-10;
2.256e-05;-1.12868e-11;2.37748e-10;
2.456e-05;-1.12868e-11;2.37751e-10;
2.656e-05;-1.12868e-11;2.37755e-10;
2.856e-05;-1.12868e-11;2.37758e-10;
3.056e-05;-1.12868e-11;2.37761e-10;
3.256e-05;-1.12868e-11;2.37764e-10;
3.456e-05;-1.12868e-11;2.37767e-10;
3.656e-05;-1.12868e-11;2.3777e-10;
3.856e-05;-1.12868e-11;2.37773e-10;
4.056e-05;-1.12868e-11;2.37775e-10;
4.256e-05;-1.12868e-11;2.37778e-10;
4.456e-05;-1.12868e-11;2.37781e-10;
4.656e-05;-1.12868e-11;2.37784e-10;
4.856e-05;-1.12868e-11;2.37786e-10;
5e-05;-1.12868e-11;2.37788e-10;
5.02e-05;-1.12868e-11;2.37788e-10;
5.06e-05;-1.12868e-11;2.37788e-10;
5.14e-05;-1.12868e-11;2.37788e-10;
5.3e-05;-1.12868e-11;2.37788e-10;
5.5e-05;-1.12868e-11;2.37788e-10;
5.7e-05;-1.12868e-11;2.37788e-10;
5.9e-05;-1.12868e-11;2.37788e-10;
6.1e-05;-1.12868e-11;2.37788e-10;
6.3e-05;-1.12868e-11;2.37788e-10;
6.5e-05;-1.12868e-11;2.37788e-10;
6.7e-05;-1.12868e-11;2.37788e-10;
6.9e-05;-1.12868e-11;2.37788e-10;
7.1e-05;-1.12868e-11;2.37788e-10;
7.3e-05;-1.12868e-11;2.37788e-10;
7.5e-05;-1.12868e-11;2.37788e-10;
7.7e-05;-1.12868e-11;2.37788e-10;
7.9e-05;-1.12868e-11;2.37788e-10;
8.1e-05;-1.12868e-11;2.37788e-10;
8.3e-05;-1.12868e-11;2.37788e-10;
8.5e-05;-1.12868e-11;2.37788e-10;
8.7e-05;-1.12868e-11;2.37788e-10;
8.9e-05;-1.12868e-11;2.37788e-10;
9.1e-05;-1.12868e-11;2.37788e-10;
9.3e-05;-1.12868e-11;2.37788e-10;
9.5e-05;-1.12868e-11;2.37788e-10;
9.7e-05;-1.12868e-11;2.37788e-10;
9.9e-05;-1.12868e-11;2.37788e-10;
0.000101;-1.12868e-11;2.37788e-10;
0.000103;-1.12868e-11;2.37788e-10;
0.000105;-1.12868e-11;2.37788e-10;
0.000107;-1.12868e-11;2.37788e-10;
0.000109;-1.12868e-11;2.37788e-10;
0.000111;-1.12868e-11;2.37788e-10;
0.000113;-1.12868e-11;2.37788e-10;
0.000115;-1.12868e-11;2.37788e-10;
0.000117;-1.12868e-11;2.37788e-10;
0.000119;-1.12868e-11;2.37788e-10;
0.000121;-1.12868e-11;2.37788e-10;
0.000123;-1.12868e-11;2.37788e-10;
0.000125;-1.12868e-11;2.37788e-10;
0.0001252;-3.49601e-12;6.40557e-10;
0.0001256;-3.11288e-12;0.00205587;
0.0001264;-3.28268e-12;0.0119009;
0.000127;-3.63427e-12;0.0188661;
0.00012716;-4.22414e-12;0.0186633;
0.00012748;-5.38834e-09;0.0182612;
0.00012812;-0.0175936;0.156014;
0.000128849;-0.035778;0.00495371;
0.000129265;-3.68961e-12;0.00703538;
0.00012967;-3.2459e-12;0.00224488;
0.000130002;-3.49701e-12;0.00199558;
0.000130321;-3.96699e-12;0.00176076;
0.000130829;-6.45392e-07;0.00138178;
0.000131412;-0.00656219;0.00136229;
0.00013214;-4.31848e-05;0.0024477;
0.00013299;-0.000682171;0.00152361;
0.000134093;-0.00583715;0.00258459;
0.000135137;-0.000100709;0.00080682;
0.000136431;-0.00390118;0.00171804;
0.000138431;-0.000998245;0.00124337;
0.000140431;-0.00348609;0.00153683;
0.000142431;-0.00135042;0.00139396;
0.000144431;-0.00318505;0.00141375;
0.000146431;-0.00161108;0.00149758;
0.000148431;-0.00295833;0.0013287;
0.000150431;-0.00180917;0.00156908;
0.000152431;-0.00278517;0.0012701;
0.000154431;-0.00196051;0.00161689;
0.000156431;-0.00265251;0.00123177;
0.000158431;-0.00207654;0.00164718;
0.000160431;-0.00255063;0.00120818;
0.000162431;-0.00216547;0.00166457;
0.000164431;-0.00247278;0.00119559;
0.000166431;-0.00223325;0.00167224;
0.000168431;-0.00241357;0.00119119;
0.000170431;-0.00228456;0.00167278;
0.000172431;-0.00236891;0.00119281;
0.000174431;-0.00232303;0.00166812;
0.000176431;-0.00233562;0.0011988;
0.000178431;-0.00235159;0.0016597;
0.000180431;-0.00231039;0.00120762;
0.000182431;-0.00237349;0.00164931;
0.000184431;-0.00229188;0.00121847;
0.000186431;-0.00238882;0.00163704;
0.000188431;-0.00227911;0.00123084;
0.000190431;-0.00239916;0.00162363;
0.000192431;-0.00227067;0.00124409;
0.000194431;-0.00240576;0.00160967;
0.000196431;-0.00226548;0.00125772;
0.000198431;-0.00240958;0.00159557;
0.000200431;-0.00226268;0.00127138;
0.000202431;-0.00241136;0.00158163;
0.000204431;-0.00226165;0.00128483;
0.000206431;-0.00241163;0.00156806;
0.000208431;-0.00226189;0.00129788;
0.000210431;-0.00241084;0.00155499;
0.000212431;-0.00226313;0.00131046;
0.000214431;-0.00240912;0.00154245;
0.000216431;-0.00226505;0.00132246;
0.000218431;-0.00240705;0.00153048;
0.000220431;-0.00226716;0.00133382;
0.000222431;-0.0024047;0.00151934;
0.000224431;-0.00226962;0.00134452;
0.000226431;-0.00240209;0.00150888;
0.000228431;-0.00227226;0.00135456;
0.000230431;-0.00239936;0.00149909;
0.000232431;-0.00227497;0.00136394;
0.000234431;-0.00239661;0.00148996;
0.000236431;-0.00227769;0.00137268;
0.000238431;-0.00239388;0.00148147;
0.000240431;-0.00228034;0.00138081;
0.000242431;-0.00239123;0.0014736;
0.000244431;-0.00228291;0.00138836;
0.000246431;-0.00238868;0.0014663;
0.000248431;-0.00228537;0.00139535;
0.000250431;-0.00238626;0.00145955;
0.000252431;-0.00228771;0.00140182;
0.000254431;-0.00238395;0.00145331;
0.000256431;-0.00228991;0.00140781;
0.000258431;-0.00238179;0.00144755;
0.000260431;-0.00229199;0.00141333;
0.000262431;-0.00237975;0.00144224;
0.000264431;-0.00229394;0.00141843;
0.000266431;-0.00237784;0.00143734;
0.000268431;-0.00229575;0.00142314;
0.000270431;-0.00237606;0.00143282;
0.000272431;-0.00229745;0.00142747;
0.000274431;-0.0023744;0.00142867;
0.000276431;-0.00229903;0.00143147;
0.000278431;-0.00237285;0.00142484;
0.000280431;-0.00230049;0.00143515;
0.000282431;-0.00237141;0.00142132;
0.000284431;-0.00230186;0.00143853;
0.000286431;-0.00237008;0.00141808;
0.000288431;-0.00230312;0.00144164;
0.000290431;-0.00236885;0.0014151;
0.000292431;-0.00230429;0.00144451;
0.000294431;-0.0023677;0.00141237;
0.000296431;-0.00230537;0.00144714;
0.000298431;-0.00236664;0.00140985;
0.000300431;-0.00230637;0.00144956;
0.000302431;-0.00236566;0.00140754;
0.000304431;-0.00230724;0.00145176;
0.000306431;-0.00236485;0.00140547;
0.000308431;-0.00230801;0.00145376;
0.000310431;-0.00236408;0.00140355;
0.000312431;-0.00230874;0.00145561;
0.000314431;-0.00236335;0.00140178;
0.000316431;-0.00230943;0.00145732;
0.000318431;-0.00236266;0.00140015;
0.000320431;-0.00231008;0.00145889;
0.000322431;-0.00236201;0.00139865;
0.000324431;-0.00231072;0.00146035;
0.000326431;-0.00236134;0.00139724;
0.000328431;-0.00231132;0.00146169;
0.000330431;-0.00236078;0.00139598;
0.000332431;-0.00231183;0.00146291;
0.000334431;-0.00236026;0.00139482;
0.000336431;-0.00231232;0.00146402;
0.000338431;-0.00235978;0.00139376;
0.000340431;-0.00231278;0.00146504;
0.000342431;-0.00235932;0.00139279;
0.000344431;-0.00231322;0.00146598;
0.000346431;-0.0023589;0.0013919;
0.000348431;-0.00231366;0.00146684;
0.000350431;-0.0023585;0.00139108;
0.000352431;-0.00231409;0.00146762;
0.000354431;-0.00235812;0.00139035;
0.000356431;-0.00231432;0.00146833;
0.000358431;-0.00235775;0.00138965;
0.000360431;-0.00231466;0.001469;
0.000362431;-0.00235741;0.00138902;
0.000364431;-0.00231497;0.00146961;
0.000366431;-0.0023571;0.00138844;
0.000368431;-0.00231525;0.00147016;
0.000370431;-0.00235681;0.00138792;
0.000372431;-0.00231549;0.00147066;
0.000374431;-0.00235657;0.00138745;
0.000376431;-0.00231571;0.0014711;
0.000378431;-0.00235635;0.00138703;
0.000380431;-0.00231591;0.00147151;
0.000382431;-0.00235613;0.00138664;
0.000384431;-0.0023161;0.00147188;
0.000386431;-0.00235593;0.00138629;
0.000388431;-0.00231628;0.00147222;
0.000390431;-0.00235575;0.00138597;
0.000392431;-0.00231645;0.00147252;
0.000394431;-0.00235557;0.00138568;
0.000396431;-0.0023166;0.0014728;
0.000398431;-0.00235541;0.00138542;
0.000400431;-0.00231674;0.00147305;
0.000402431;-0.00235525;0.00138519;
0.000404431;-0.00231688;0.00147327;
0.000406431;-0.00235511;0.00138497;
0.000408431;-0.002317;0.00147347;
0.000410431;-0.00235497;0.00138478;
0.000412431;-0.00231712;0.00147365;
0.000414431;-0.00235485;0.00138461;
0.000416431;-0.00231722;0.00147382;
0.000418431;-0.00235473;0.00138446;
0.000420431;-0.00231733;0.00147396;
0.000422431;-0.00235462;0.00138432;
0.000424431;-0.00231742;0.00147409;
0.000426431;-0.00235451;0.0013842;
0.000428431;-0.00231751;0.0014742;
0.000430431;-0.00235441;0.0013841;
0.000432431;-0.00231759;0.0014743;
0.000434431;-0.00235432;0.00138401;
0.000436431;-0.00231766;0.00147439;
0.000438431;-0.00235423;0.00138393;
0.000440431;-0.00231773;0.00147446;
0.000442431;-0.00235415;0.00138386;
0.000444431;-0.0023178;0.00147452;
0.000446431;-0.00235407;0.0013838;
0.000448431;-0.00231786;0.00147458;
0.000450431;-0.002354;0.00138375;
0.000452431;-0.00231792;0.00147462;
0.000454431;-0.00235393;0.00138371;
0.000456431;-0.00231798;0.00147466;
0.000458431;-0.00235386;0.00138367;
0.000460431;-0.00231803;0.00147469;
0.000462431;-0.0023538;0.00138365;
0.000464431;-0.00231808;0.00147471;
0.000466431;-0.00235373;0.00138363;
0.000468431;-0.00231812;0.00147472;
0.000470431;-0.00235368;0.00138362;
0.000472431;-0.00231817;0.00147473;
0.000474431;-0.00235362;0.00138361;
0.000476431;-0.00231821;0.00147474;
0.000478431;-0.00235357;0.00138361;
0.000480431;-0.00231825;0.00147474;
0.000482431;-0.00235352;0.00138361;
0.000484431;-0.00231828;0.00147473;
0.000486431;-0.00235347;0.00138361;
0.000488431;-0.00231832;0.00147472;
0.000490431;-0.00235342;0.00138362;
0.000492431;-0.00231835;0.00147471;
0.000494431;-0.00235337;0.00138364;
0.000496431;-0.00231838;0.00147469;
0.000498431;-0.00235333;0.00138366;
0.0005;-0.00231841;0.00147467;
0.0005002;-0.0023321;0.00142938;
0.000500498;-0.00233285;0.00142836;
0.000500724;-0.00233177;0.00142956;
0.000500976;-0.00233084;0.0014284;
0.00050148;-0.00232945;0.00142927;
0.000502489;-0.00232602;0.00142826;
0.000504489;-0.00231982;0.00142877;
0.000506489;-0.00231315;0.00142767;
0.000508489;-0.00230684;0.00142812;
0.000510489;-0.00230006;0.00142707;
0.000512489;-0.00229362;0.00142746;
0.000514489;-0.00228671;0.00142645;
0.000516489;-0.00228009;0.00142679;
0.000518489;-0.00227296;0.00142582;
0.000520489;-0.00226602;0.0014261;
0.000522489;-0.00225863;0.00142516;
0.000524489;-0.00225151;0.00142539;
0.000526489;-0.00224398;0.00142449;
0.000528489;-0.00223665;0.00142466;
0.000530489;-0.0022289;0.00142379;
0.000532489;-0.0022213;0.00142392;
0.000534489;-0.00221326;0.00142307;
0.000536489;-0.00220533;0.00142315;
0.000538489;-0.00219695;0.00142232;
0.000540489;-0.00218859;0.00142235;
0.000542489;-0.00217976;0.00142153;
0.000544489;-0.00217088;0.00142151;
0.000546489;-0.00216146;0.00142069;
0.000548489;-0.00215188;0.00142061;
0.00055;-0.00214418;0.0014199;
0.0005502;-0.00214403;0.00141994;
0.0005506;-0.00214394;0.00141991;
0.0005514;-0.00214398;0.00141992;
0.000553;-0.00214393;0.00141992;
0.000555;-0.00214394;0.00141992;
0.000557;-0.0021439;0.00141992;
0.000559;-0.00214392;0.00141992;
0.000561;-0.00214389;0.00141992;
0.000563;-0.00214391;0.00141992;
0.000565;-0.00214389;0.00141992;
0.000567;-0.0021439;0.00141991;
0.000569;-0.00214389;0.00141992;
0.000571;-0.0021439;0.00141991;
0.000573;-0.00214389;0.00141992;
0.000575;-0.0021439;0.00141991;
0.000577;-0.00214389;0.00141992;
0.000579;-0.0021439;0.00141991;
0.000581;-0.00214389;0.00141992;
0.000583;-0.0021439;0.00141991;
0.000585;-0.00214389;0.00141992;
0.000587;-0.0021439;0.00141991;
0.000589;-0.00214389;0.00141992;
0.000591;-0.00214389;0.00141991;
0.000593;-0.00214389;0.00141992;
0.000595;-0.00214389;0.00141991;
0.000597;-0.00214389;0.00141992;
0.000599;-0.00214389;0.00141991;
0.000601;-0.0021439;0.00141992;
0.000603;-0.00214389;0.00141991;
0.000605;-0.0021439;0.00141992;
0.000607;-0.00214389;0.00141991;
0.000609;-0.0021439;0.00141992;
0.000611;-0.00214389;0.00141991;
0.000613;-0.0021439;0.00141992;
0.000615;-0.00214389;0.00141991;
0.000617;-0.0021439;0.00141992;
0.000619;-0.00214389;0.00141991;
0.000621;-0.0021439;0.00141992;
0.000623;-0.00214389;0.00141992;
0.000625;-0.0021439;0.00141992;
0.0006252;-0.00215009;0.001258;
0.0006256;-0.00214603;0.000914416;
0.0006264;-0.00205583;0.000284439;
0.000627;-0.000815632;0.00011656;
0.00062716;-0.00059258;5.91993e-05;
0.00062748;-0.000450106;9.35922e-06;
0.00062812;-0.000364639;2.20716e-07;
0.0006294;-0.000251443;6.00605e-10;
0.0006314;-0.000142049;4.87089e-11;
0.0006334;-8.3078e-05;8.97339e-11;
0.0006354;-5.09161e-05;1.44982e-10;
0.0006374;-3.29808e-05;2.12745e-10;
0.0006394;-2.26269e-05;2.24967e-10;
0.0006414;-1.6379e-05;2.23907e-10;
0.0006434;-1.24212e-05;2.25813e-10;
0.0006454;-9.79166e-06;2.24784e-10;
0.0006474;-7.96677e-06;2.2631e-10;
0.0006494;-6.65069e-06;2.25365e-10;
0.0006514;-5.66954e-06;2.26641e-10;
0.0006534;-4.91702e-06;2.25789e-10;
0.0006554;-4.32568e-06;2.2688e-10;
0.0006574;-3.8512e-06;2.26117e-10;
0.0006594;-3.46362e-06;2.27064e-10;
0.0006614;-3.14205e-06;2.26383e-10;
0.0006634;-2.87162e-06;2.27212e-10;
0.0006654;-2.64148e-06;2.26603e-10;
0.0006674;-2.44355e-06;2.27335e-10;
0.0006694;-2.27175e-06;2.2679e-10;
0.0006714;-2.12138e-06;2.27439e-10;
0.0006734;-1.98879e-06;2.26952e-10;
0.0006754;-1.87109e-06;2.2753e-10;
0.0006774;-1.76597e-06;2.27094e-10;
0.0006794;-1.67157e-06;2.2761e-10;
0.0006814;-1.58637e-06;2.27221e-10;
0.0006834;-1.50913e-06;2.27681e-10;
0.0006854;-1.43879e-06;2.27334e-10;
0.0006874;-1.3745e-06;2.27746e-10;
0.0006894;-1.31553e-06;2.27436e-10;
0.0006914;-1.26125e-06;2.27806e-10;
0.0006934;-1.21114e-06;2.27528e-10;
0.0006954;-1.16474e-06;2.27861e-10;
0.0006974;-1.12167e-06;2.27613e-10;
0.0006994;-1.08158e-06;2.27913e-10;
0.0007014;-1.04418e-06;2.27691e-10;
0.0007034;-1.00922e-06;2.27961e-10;
0.0007054;-9.76462e-07;2.27763e-10;
0.0007074;-9.45714e-07;2.28006e-10;
0.0007094;-9.16797e-07;2.2783e-10;
0.0007114;-8.89556e-07;2.28049e-10;
0.0007134;-8.6385e-07;2.27892e-10;
0.0007154;-8.39556e-07;2.2809e-10;
0.0007174;-8.16562e-07;2.2795e-10;
0.0007194;-7.94768e-07;2.28129e-10;
0.0007214;-7.74083e-07;2.28004e-10;
0.0007234;-7.54427e-07;2.28166e-10;
0.0007254;-7.35724e-07;2.28055e-10;
0.0007274;-7.17909e-07;2.28202e-10;
0.0007294;-7.00921e-07;2.28104e-10;
0.0007314;-6.84703e-07;2.28237e-10;
0.0007334;-6.69206e-07;2.28149e-10;
0.0007354;-6.54382e-07;2.2827e-10;
0.0007374;-6.40189e-07;2.28193e-10;
0.0007394;-6.26589e-07;2.28302e-10;
0.0007414;-6.13545e-07;2.28233e-10;
0.0007434;-6.01025e-07;2.28333e-10;
0.0007454;-5.88997e-07;2.28272e-10;
0.0007474;-5.77434e-07;2.28363e-10;
0.0007494;-5.66309e-07;2.2831e-10;
0.0007514;-5.55598e-07;2.28392e-10;
0.0007534;-5.45279e-07;2.28345e-10;
0.0007554;-5.3533e-07;2.2842e-10;
0.0007574;-5.25733e-07;2.28379e-10;
0.0007594;-5.1647e-07;2.28448e-10;
0.0007614;-5.07522e-07;2.28412e-10;
0.0007634;-4.98875e-07;2.28474e-10;
0.0007654;-4.90514e-07;2.28443e-10;
0.0007674;-4.82425e-07;2.285e-10;
0.0007694;-4.74595e-07;2.28473e-10;
0.0007714;-4.67012e-07;2.28526e-10;
0.0007734;-4.59664e-07;2.28502e-10;
0.0007754;-4.52541e-07;2.2855e-10;
0.0007774;-4.45633e-07;2.2853e-10;
0.0007794;-4.3893e-07;2.28574e-10;
0.0007814;-4.32423e-07;2.28557e-10;
0.0007834;-4.26104e-07;2.28598e-10;
0.0007854;-4.19965e-07;2.28583e-10;
0.0007874;-4.13998e-07;2.28621e-10;
0.0007894;-4.08197e-07;2.28608e-10;
0.0007914;-4.02554e-07;2.28643e-10;
0.0007934;-3.97064e-07;2.28633e-10;
0.0007954;-3.91719e-07;2.28665e-10;
0.0007974;-3.86515e-07;2.28657e-10;
0.0007994;-3.81446e-07;2.28686e-10;
0.0008014;-3.76507e-07;2.2868e-10;
0.0008034;-3.71693e-07;2.28707e-10;
0.0008054;-3.66999e-07;2.28702e-10;
0.0008074;-3.62421e-07;2.28727e-10;
0.0008094;-3.57954e-07;2.28724e-10;
0.0008114;-3.53596e-07;2.28747e-10;
0.0008134;-3.49341e-07;2.28745e-10;
0.0008154;-3.45186e-07;2.28767e-10;
0.0008174;-3.41128e-07;2.28765e-10;
0.0008194;-3.37164e-07;2.28786e-10;
0.0008214;-3.3329e-07;2.28785e-10;
0.0008234;-3.29503e-07;2.28805e-10;
0.0008254;-3.258e-07;2.28805e-10;
0.0008274;-3.22179e-07;2.28823e-10;
0.0008294;-3.18636e-07;2.28824e-10;
0.0008314;-3.1517e-07;2.28841e-10;
0.0008334;-3.11779e-07;2.28843e-10;
0.0008354;-3.08458e-07;2.28858e-10;
0.0008374;-3.05207e-07;2.28861e-10;
0.0008394;-3.02023e-07;2.28876e-10;
0.0008414;-2.98905e-07;2.28879e-10;
0.0008434;-2.9585e-07;2.28893e-10;
0.0008454;-2.92856e-07;2.28896e-10;
0.0008474;-2.89921e-07;2.28909e-10;
0.0008494;-2.87044e-07;2.28913e-10;
0.0008514;-2.84224e-07;2.28926e-10;
0.0008534;-2.81457e-07;2.2893e-10;
0.0008554;-2.78744e-07;2.28942e-10;
0.0008574;-2.76082e-07;2.28946e-10;
0.0008594;-2.7347e-07;2.28958e-10;
0.0008614;-2.70907e-07;2.28962e-10;
0.0008634;-2.68391e-07;2.28973e-10;
0.0008654;-2.65921e-07;2.28978e-10;
0.0008674;-2.63495e-07;2.28988e-10;
0.0008694;-2.61113e-07;2.28993e-10;
0.0008714;-2.58774e-07;2.29003e-10;
0.0008734;-2.56475e-07;2.29008e-10;
0.0008754;-2.54217e-07;2.29018e-10;
0.0008774;-2.51998e-07;2.29023e-10;
0.0008794;-2.49818e-07;2.29032e-10;
0.0008814;-2.47674e-07;2.29037e-10;
0.0008834;-2.45566e-07;2.29047e-10;
0.0008854;-2.43494e-07;2.29052e-10;
0.0008874;-2.41457e-07;2.29061e-10;
0.0008894;-2.39453e-07;2.29066e-10;
0.0008914;-2.37481e-07;2.29074e-10;
0.0008934;-2.35542e-07;2.2908e-10;
0.0008954;-2.33634e-07;2.29088e-10;
0.0008974;-2.31756e-07;2.29093e-10;
0.0008994;-2.29908e-07;2.29101e-10;
0.0009014;-2.28089e-07;2.29107e-10;
0.0009034;-2.26299e-07;2.29114e-10;
0.0009054;-2.24536e-07;2.2912e-10;
0.0009074;-2.228e-07;2.29127e-10;
0.0009094;-2.21091e-07;2.29133e-10;
0.0009114;-2.19408e-07;2.2914e-10;
0.0009134;-2.1775e-07;2.29145e-10;
0.0009154;-2.16116e-07;2.29153e-10;
0.0009174;-2.14507e-07;2.29158e-10;
0.0009194;-2.12921e-07;2.29165e-10;
0.0009214;-2.11359e-07;2.2917e-10;
0.0009234;-2.09819e-07;2.29177e-10;
0.0009254;-2.08302e-07;2.29183e-10;
0.0009274;-2.06806e-07;2.29189e-10;
0.0009294;-2.05331e-07;2.29195e-10;
0.0009314;-2.03877e-07;2.29201e-10;
0.0009334;-2.02443e-07;2.29206e-10;
0.0009354;-2.01029e-07;2.29213e-10;
0.0009374;-1.99635e-07;2.29218e-10;
0.0009394;-1.9826e-07;2.29224e-10;
0.0009414;-1.96903e-07;2.2923e-10;
0.0009434;-1.95565e-07;2.29236e-10;
0.0009454;-1.94245e-07;2.29241e-10;
0.0009474;-1.92943e-07;2.29247e-10;
0.0009494;-1.91657e-07;2.29252e-10;
0.0009514;-1.90389e-07;2.29258e-10;
0.0009534;-1.89137e-07;2.29263e-10;
0.0009554;-1.87902e-07;2.29269e-10;
0.0009574;-1.86682e-07;2.29274e-10;
0.0009594;-1.85478e-07;2.2928e-10;
0.0009614;-1.8429e-07;2.29285e-10;
0.0009634;-1.83116e-07;2.2929e-10;
0.0009654;-1.81957e-07;2.29295e-10;
0.0009674;-1.80813e-07;2.29301e-10;
0.0009694;-1.79683e-07;2.29306e-10;
0.0009714;-1.78567e-07;2.29311e-10;
0.0009734;-1.77465e-07;2.29316e-10;
0.0009754;-1.76376e-07;2.29321e-10;
0.0009774;-1.753e-07;2.29326e-10;
0.0009794;-1.74237e-07;2.29332e-10;
0.0009814;-1.73187e-07;2.29336e-10;
0.0009834;-1.7215e-07;2.29342e-10;
